AvgCyclomatic,AvgEssential,CountDeclClassMethodRatio,CountDeclClassVariableRatio,CountDeclInstanceMethodRatio,CountDeclMethodPrivateRatio,CountDeclMethodProtectedRatio,CountDeclMethodPublicRatio,CountLine,CountLineBlankRatio,CountLineCodeDeclRatio,MaxCyclomatic,RatioCommentToCode,AvgCountClassBase,AvgCountClassCoupled,AvgCountClassDerived,MaxInheritanceTree,AvgPercentLackOfCohesion,AvgCountInput,AvgCountOutput,AvgCountPath,MaxNesting,Bug
1.0,1.0,0.0,0.0,1.0,0.0,0.25,0.75,81.0,0.1604938271604938,0.3703703703703703,2.0,0.45,1.0,14.0,0.0,2.0,66.0,3.0,3.25,1.25,1.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,128.0,0.109375,0.1796875,2.0,1.28,2.0,4.0,0.0,2.0,70.0,1.8,2.1,1.1,1.0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,68.0,0.2205882352941176,0.2647058823529412,0.0,1.79,1.0,5.0,1.0,2.0,0.0,1.7,0.6,0.0,0.0,0
1.0,1.0,0.0,11.0,1.0,0.1,0.0,0.9,122.0,0.2295081967213114,0.3360655737704918,3.0,0.29,1.0,9.0,0.0,1.0,93.0,2.0,2.3,1.2,1.0,0
2.0,1.0,0.5,1.3333333333333333,0.9375,0.0416666666666666,0.0,0.9375,610.0,0.1344262295081967,0.2081967213114754,11.0,0.07,2.2,10.2,0.0,2.0,13.0,3.369565217391304,3.282608695652174,5.043478260869565,3.0,0
2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,78.0,0.1153846153846153,0.1666666666666666,4.0,0.75,2.0,9.0,0.0,1.0,50.0,2.6,3.6,1.6,2.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8,53.0,0.1320754716981132,0.2830188679245283,2.0,0.77,2.0,4.0,1.0,3.0,0.0,2.4,1.6,1.0,0.0,0
10.0,2.0,0.0,3.0,1.0,0.0,0.25,0.75,398.0,0.2035175879396984,0.1231155778894472,37.0,0.62,1.0,25.0,0.0,8.0,75.0,9.0,9.75,43397.25,6.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,118.0,0.1101694915254237,0.1610169491525423,3.0,1.23,1.5,2.5,0.0,2.0,0.0,1.1666666666666667,3.333333333333333,1.6666666666666667,2.0,0
3.0,2.0,0.0,3.0,1.0,0.5555555555555556,0.0,0.1111111111111111,359.0,0.0668523676880222,0.2061281337047353,6.0,0.77,1.0,32.0,0.0,2.0,63.0,6.0,11.22222222222222,3.7777777777777777,3.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,64.0,0.125,0.28125,1.0,0.7,1.0,9.0,0.0,1.0,40.0,6.8,2.2,1.0,0.0,0
1.0,1.0,0.25,0.5,0.9444444444444444,0.0555555555555555,0.0,0.2222222222222222,323.0,0.0990712074303405,0.2724458204334365,6.0,0.23,1.0,17.0,0.0,2.0,34.25,5.777777777777778,5.944444444444445,2.2222222222222223,3.0,0
3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,54.0,0.1111111111111111,0.2222222222222222,6.0,0.55,1.0,9.0,0.0,2.0,0.0,3.5,3.0,2.5,1.0,0
2.0,1.0,0.5,2.0,0.9433962264150944,0.0377358490566037,0.0,0.9433962264150944,687.0,0.1353711790393013,0.2096069868995633,14.0,0.07,2.2,10.0,0.0,2.0,14.8,5.2745098039215685,3.5686274509803924,4.705882352941177,3.0,0
1.0,1.0,0.5,1.0,0.925,0.05,0.0,0.925,447.0,0.145413870246085,0.2483221476510067,6.0,0.08,2.2,11.4,0.0,2.0,9.2,2.5,3.131578947368421,2.1842105263157894,4.0,0
1.0,1.0,0.0,0.5,1.0,0.0769230769230769,0.2307692307692307,0.6923076923076923,263.0,0.182509505703422,0.2737642585551331,7.0,0.29,1.5,12.25,0.0,6.0,26.5,4.461538461538462,4.769230769230769,4.307692307692308,2.0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,43.0,0.1162790697674418,0.1860465116279069,0.0,3.22,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,151.0,0.1324503311258278,0.2251655629139073,17.0,0.21,1.0,12.0,0.0,2.0,63.0,2.363636363636364,2.090909090909091,3.090909090909091,3.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,54.0,0.1296296296296296,0.2592592592592592,3.0,0.62,0.8,1.2,0.4,1.0,6.6,2.0,2.25,1.25,2.0,0
2.0,1.0,0.0,0.0,1.0,0.375,0.0,0.625,170.0,0.1176470588235294,0.2823529411764706,4.0,0.2,1.0,23.0,0.0,2.0,58.0,3.625,5.375,2.875,2.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,72.0,0.2222222222222222,0.1527777777777778,1.0,1.33,1.0,5.0,0.0,1.0,0.0,7.0,8.0,1.0,0.0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,0.1304347826086956,0.1304347826086956,0.0,4.71,2.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0
